q,successful,maze_size,runtime
0.025,True,51,0.36807
0.025,True,51,0.38773
0.025,True,51,0.34376
0.025,True,51,0.44280
0.025,True,51,0.38380
0.025,True,51,0.33241
0.025,True,51,0.43029
0.025,True,51,0.35101
0.025,True,51,0.55455
0.025,True,51,0.39460
0.025,True,51,0.50399
0.025,True,51,0.49550
0.025,True,51,0.33799
0.025,True,51,0.38822
0.025,True,51,0.36160
0.025,True,51,0.39415
0.025,True,51,0.37883
0.025,True,51,0.56274
0.025,True,51,0.39813
0.025,True,51,0.39264
0.025,True,51,0.42472
0.025,True,51,0.33492
0.025,True,51,0.36656
0.025,True,51,0.44551
0.025,True,51,0.46781
0.025,True,51,0.43429
0.025,True,51,0.44360
0.025,False,51,0.18630
0.025,True,51,0.34627
0.025,True,51,0.37649
0.025,True,51,0.32508
0.025,True,51,0.42429
0.025,True,51,0.38994
0.025,True,51,0.37081
0.025,True,51,0.34203
0.025,True,51,0.40677
0.025,True,51,0.47897
0.025,True,51,0.39596
0.025,True,51,0.41719
0.025,True,51,0.44091
0.025,True,51,0.37704
0.025,True,51,0.38241
0.025,True,51,0.42953
0.025,True,51,0.44075
0.025,True,51,0.44297
0.025,True,51,0.40763
0.025,True,51,0.35623
0.025,True,51,0.46476
0.025,True,51,0.37921
0.025,True,51,0.43662
0.025,True,51,0.37372
0.025,True,51,0.39565
0.025,True,51,0.39994
0.025,True,51,0.50834
0.025,True,51,0.36215
0.025,True,51,0.35551
0.025,True,51,0.41180
0.025,True,51,0.48581
0.025,True,51,0.42561
0.025,True,51,0.45699
0.025,True,51,0.37063
0.025,True,51,0.36369
0.025,True,51,0.35883
0.025,True,51,0.33858
0.025,True,51,0.43358
0.025,True,51,0.41345
0.025,True,51,0.36516
0.025,True,51,0.43282
0.025,True,51,0.39694
0.025,True,51,0.38209
0.025,False,51,1.17058
0.025,True,51,0.38656
0.025,True,51,0.44524
0.025,True,51,0.42565
0.025,True,51,0.44056
0.025,True,51,0.40460
0.025,True,51,0.45736
0.025,True,51,0.35688
0.025,True,51,0.37014
0.025,True,51,0.41148
0.025,True,51,0.51576
0.025,True,51,0.45015
0.025,True,51,0.38732
0.025,True,51,0.57120
0.025,True,51,0.33705
0.025,True,51,0.41389
0.025,True,51,0.42516
0.025,True,51,0.37398
0.025,True,51,0.42957
0.025,True,51,0.40958
0.025,True,51,0.38032
0.025,True,51,0.36680
0.025,True,51,0.38724
0.025,True,51,0.48068
0.025,True,51,0.47729
0.025,True,51,0.39302
0.025,True,51,0.36475
0.025,True,51,0.39634
0.025,True,51,0.36754
0.025,True,51,0.39793
0.025,True,51,0.51057
0.025,True,51,0.34373
0.025,True,51,0.40545
0.025,True,51,0.38878
0.025,True,51,0.40196
0.025,True,51,0.35466
0.025,True,51,0.39811
0.025,True,51,0.38461
0.025,True,51,0.38982
0.025,True,51,0.32435
0.025,True,51,0.43364
0.025,True,51,0.35083
0.025,False,51,0.59309
0.025,True,51,0.32325
0.025,False,51,0.21567
0.025,True,51,0.40316
0.025,True,51,0.37151
0.025,True,51,0.39276
0.025,True,51,0.42861
0.025,True,51,0.43618
0.025,True,51,0.43630
0.025,True,51,0.41232
0.025,True,51,0.34057
0.025,True,51,0.65562
0.025,True,51,0.41728
0.025,True,51,0.38303
0.025,True,51,0.36569
0.025,True,51,0.44005
0.025,True,51,0.45971
0.025,True,51,0.35911
0.025,True,51,0.38109
0.025,False,51,0.44933
0.025,True,51,0.36987
0.025,True,51,0.43432
0.025,True,51,0.36535
0.025,True,51,0.35750
0.025,True,51,0.40103
0.025,True,51,0.48508
0.025,True,51,0.45802
0.025,True,51,0.38412
0.025,True,51,0.38415
0.025,True,51,0.34399
0.025,True,51,0.38278
0.025,True,51,0.45072
0.025,True,51,0.36253
0.025,True,51,0.38675
0.025,True,51,0.38468
0.025,True,51,0.36746
0.025,True,51,0.43342
0.025,True,51,0.36154
0.025,True,51,0.35909
0.025,True,51,0.34772
0.025,False,51,0.21815
0.025,True,51,0.36508
0.025,True,51,0.35893
0.025,True,51,0.35711
0.025,True,51,0.35960
0.025,True,51,0.39674
0.025,True,51,0.42633
0.025,True,51,0.42376
0.025,True,51,0.44901
0.025,True,51,0.39761
0.025,True,51,0.39670
0.025,True,51,0.42133
0.025,True,51,0.47665
0.025,True,51,0.40657
0.025,True,51,0.34330
0.025,True,51,0.40470
0.025,True,51,0.38292
0.025,True,51,0.39668
0.025,True,51,0.47479
0.025,True,51,0.35569
0.025,True,51,0.41135
0.025,True,51,0.32969
0.025,True,51,0.43713
0.025,True,51,0.40857
0.025,True,51,0.35881
0.025,True,51,0.39073
0.025,True,51,0.46574
0.025,False,51,0.39764
0.025,False,51,0.27266
0.025,True,51,0.40924
0.025,True,51,0.35668
0.025,True,51,0.40249
0.025,True,51,0.34592
0.025,True,51,0.38474
0.025,True,51,0.35978
0.025,True,51,0.33446
0.025,True,51,0.40038
0.025,True,51,0.44711
0.025,True,51,0.47597
0.025,True,51,0.44174
0.025,True,51,0.36709
0.025,True,51,0.49388
0.025,True,51,0.34082
0.025,True,51,0.39614
0.025,True,51,0.38507
0.025,True,51,0.40853
0.025,True,51,0.36720
0.025,True,51,0.37112
0.025,True,51,0.50159
0.025,True,51,0.40088
0.025,True,51,0.41139
0.025,True,51,0.34932
0.025,True,51,0.37984
0.025,True,51,0.41825
0.025,True,51,0.41202
0.025,True,51,0.38220
0.025,True,51,0.37696
0.025,True,51,0.46311
0.025,True,51,0.38058
0.025,True,51,0.36850
0.025,True,51,0.36586
0.025,True,51,0.38848
0.025,True,51,0.41124
0.025,True,51,0.36427
0.025,True,51,0.34970
0.025,True,51,0.43034
0.025,True,51,0.35486
0.025,True,51,0.39394
0.025,True,51,0.36128
0.025,True,51,0.40455
0.025,True,51,0.38221
0.025,True,51,0.39292
0.025,True,51,0.33122
0.025,True,51,0.44109
0.025,True,51,0.39839
0.025,True,51,0.37603
0.025,True,51,0.37649
0.025,True,51,0.34460
0.025,True,51,0.34646
0.025,False,51,0.94162
0.025,True,51,0.42311
0.025,False,51,0.19677
0.025,True,51,0.49429
0.025,True,51,0.36577
0.025,True,51,0.35459
0.025,True,51,0.43063
0.025,True,51,0.38573
0.025,True,51,0.46624
0.025,True,51,0.81613
0.025,True,51,0.38965
0.025,True,51,0.36706
0.025,True,51,0.39246
0.025,True,51,0.73187
0.025,True,51,0.34049
0.025,True,51,0.36533
0.025,True,51,0.40087
0.025,True,51,0.60726
0.025,True,51,0.35113
0.025,True,51,0.43362
0.025,True,51,0.40103
0.025,True,51,0.37732
0.025,True,51,0.42243
0.025,True,51,0.47815
0.025,True,51,0.40896
0.025,True,51,0.39126
0.025,True,51,0.37977
0.025,True,51,0.34413
0.025,True,51,0.44118
0.025,True,51,0.38589
0.025,True,51,0.44309
0.025,True,51,0.38700
0.025,False,51,0.19357
0.025,True,51,0.44509
0.025,True,51,0.36252
0.025,True,51,0.36040
0.025,False,51,0.72701
0.025,True,51,0.36266
0.025,True,51,0.33585
0.025,True,51,0.39542
0.025,True,51,0.37161
0.025,True,51,0.38819
0.025,True,51,0.43772
0.025,True,51,0.42216
0.025,True,51,0.39419
0.025,True,51,0.37976
0.025,True,51,0.34710
0.025,True,51,0.34663
0.025,True,51,0.49013
0.025,True,51,0.34462
0.025,True,51,0.43538
0.025,True,51,0.38050
0.025,True,51,0.35379
0.025,True,51,0.33725
0.025,True,51,0.36580
0.025,True,51,0.33999
0.025,True,51,0.39014
0.025,True,51,0.35988
0.025,True,51,0.35485
0.025,True,51,0.43964
0.025,True,51,0.38056
0.025,True,51,0.39108
0.025,True,51,0.35576
0.025,False,51,0.17547
0.025,True,51,0.33521
0.025,True,51,0.42805
0.025,True,51,0.49119
0.025,True,51,0.52107
0.025,True,51,0.40174
0.025,True,51,0.37294
0.025,True,51,0.41255
0.025,True,51,0.48205
0.025,True,51,0.37317
0.025,True,51,0.37288
0.025,True,51,0.45483
0.025,True,51,0.45122
0.025,True,51,0.43848
0.025,True,51,0.34928
0.025,True,51,0.34779
0.025,True,51,0.35384
0.025,True,51,0.37132
0.025,True,51,0.43144
0.025,True,51,0.36138
0.025,True,51,0.43219
0.025,True,51,0.37541
0.025,True,51,0.42360
0.025,True,51,0.44472
0.025,True,51,0.44768
0.025,False,51,0.20854
0.025,True,51,0.37033
0.025,True,51,0.35086
0.025,True,51,0.42028
0.025,True,51,0.35572
0.025,True,51,0.47598
0.025,True,51,0.36957
0.025,True,51,0.34778
0.025,True,51,0.55030
0.025,True,51,0.40393
0.025,True,51,0.39539
0.025,True,51,0.38402
0.025,True,51,0.39906
0.025,True,51,0.33650
0.025,True,51,0.39158
0.025,True,51,0.37120
0.025,True,51,0.43508
0.025,True,51,0.41573
0.025,True,51,0.37255
0.025,True,51,0.42506
0.025,False,51,0.20813
0.025,True,51,0.37972
0.025,True,51,0.38402
0.025,True,51,0.38580
0.025,False,51,0.69638
0.025,True,51,0.38815
0.025,False,51,0.18683
0.025,True,51,0.35829
0.025,True,51,0.46377
0.025,True,51,0.36384
0.025,True,51,0.39472
0.025,True,51,0.37440
0.025,True,51,0.36766
0.025,True,51,0.43944
0.025,True,51,0.41496
0.025,True,51,0.39927
0.025,False,51,0.32655
0.025,True,51,0.43597
0.025,True,51,0.37383
0.025,True,51,0.41975
0.025,True,51,0.34287
0.025,True,51,0.39418
0.025,True,51,0.41850
0.025,True,51,0.34751
0.025,True,51,0.39145
0.025,True,51,0.33902
0.025,True,51,0.34884
0.025,True,51,0.38353
0.025,True,51,0.58927
0.025,True,51,0.37561
0.025,True,51,0.41956
0.025,True,51,0.35858
0.025,True,51,0.42079
0.025,True,51,0.35111
0.025,True,51,0.33283
0.025,True,51,0.45604
0.025,True,51,0.41184
0.025,True,51,0.50536
0.025,True,51,0.33627
0.025,True,51,0.38738
0.025,True,51,0.38636
0.025,True,51,0.37277
0.025,True,51,0.38629
0.025,True,51,0.41425
0.025,True,51,0.42581
0.025,True,51,0.37836
0.025,True,51,0.41889
0.025,True,51,0.37195
0.025,True,51,0.39940
0.025,True,51,0.37006
0.025,True,51,0.60252
0.025,True,51,0.42766
0.025,True,51,0.41796
0.025,True,51,0.37353
0.025,True,51,0.45550
0.025,True,51,0.35774
0.025,True,51,0.38698
0.025,True,51,0.38004
0.025,True,51,0.35904
0.025,True,51,0.41431
0.025,True,51,0.37498
0.025,True,51,0.36991
0.025,True,51,0.38566
0.025,True,51,0.50115
0.025,True,51,0.46995
0.025,True,51,0.36498
0.025,True,51,0.38871
0.025,True,51,0.35844
0.025,True,51,0.32504
0.025,True,51,0.35596
0.025,True,51,0.36268
0.025,True,51,0.35878
0.025,True,51,0.48434
0.025,True,51,0.43740
0.025,True,51,0.33475
0.025,True,51,0.42807
0.025,True,51,0.45686
0.025,True,51,0.40232
0.025,True,51,0.45352
0.025,True,51,0.42960
0.025,True,51,0.35824
0.025,True,51,0.46133
0.025,True,51,0.39543
0.025,True,51,0.43371
0.025,True,51,0.36927
0.025,False,51,0.25588
0.025,True,51,0.37928
0.025,True,51,0.49971
0.025,True,51,0.39930
0.025,True,51,0.40686
0.025,True,51,0.47706
0.025,True,51,0.38569
0.025,True,51,0.42364
0.025,True,51,0.44283
0.025,True,51,0.40549
0.025,False,51,0.32170
0.025,True,51,0.35468
0.025,True,51,0.38793
0.025,True,51,0.41111
0.025,True,51,0.38702
0.025,True,51,0.46370
0.025,True,51,0.50071
0.025,True,51,0.44245
0.025,True,51,0.40082
0.025,True,51,0.36969
0.025,False,51,0.22001
0.025,True,51,0.40361
0.025,True,51,0.37655
0.025,True,51,0.32316
0.025,True,51,0.37544
0.025,True,51,0.42265
0.025,True,51,0.39036
0.025,True,51,0.38957
0.025,False,51,0.18535
0.025,True,51,0.34659
0.025,True,51,0.37312
0.025,True,51,0.33960
0.025,True,51,0.41670
0.025,False,51,0.41607
0.025,True,51,0.42842
0.025,True,51,0.40587
0.025,True,51,0.39548
0.025,True,51,0.39534
0.025,True,51,0.35028
0.025,True,51,0.37410
0.025,True,51,0.37212
0.025,True,51,0.41664
0.025,True,51,0.34973
0.025,True,51,0.36228
0.025,True,51,0.42005
0.025,True,51,0.37848
0.025,True,51,0.38896
0.025,True,51,0.39741
0.025,True,51,0.32888
0.025,True,51,0.47262
0.025,True,51,0.47282
0.025,True,51,0.41673
0.025,True,51,0.35144
0.025,True,51,0.38252
0.025,False,51,0.24929
0.025,True,51,0.37152
0.025,True,51,0.63539
0.025,True,51,0.34661
0.025,True,51,0.36291
0.025,False,51,0.17072
0.025,True,51,0.36508
0.025,True,51,0.38911
0.025,True,51,0.37270
0.025,True,51,0.39801
0.025,False,51,0.65801
0.025,True,51,0.43218
0.025,True,51,0.35861
0.025,False,51,0.27999
0.025,True,51,0.42516
0.025,True,51,0.38363
0.025,True,51,0.42126
0.025,True,51,0.42074
0.025,True,51,0.39226
0.025,True,51,0.37455
0.025,True,51,0.42258
0.025,True,51,0.45070
0.025,False,51,0.34410
0.025,True,51,0.38796
0.025,True,51,0.37298
0.025,True,51,0.35737
0.025,True,51,0.40633
0.025,True,51,0.36484
0.025,True,51,0.37499
0.025,True,51,0.48243
0.025,True,51,0.31843
0.025,True,51,0.38554
0.025,True,51,0.42989
0.025,True,51,0.35689
0.025,True,51,0.39952
0.025,True,51,0.35177
0.025,True,51,0.33326
0.025,True,51,0.35454
0.025,True,51,0.42715
0.025,True,51,0.45938
0.025,True,51,0.40442
0.025,True,51,0.41565
0.025,True,51,0.44038
0.025,True,51,0.35579
0.025,True,51,0.34006
0.025,True,51,0.37725
0.025,True,51,0.42593
0.025,True,51,0.39541
0.025,True,51,0.35949
0.025,True,51,0.34576
0.025,True,51,0.39885
0.025,True,51,0.39655
0.025,True,51,0.40295
0.025,True,51,0.35469
0.025,True,51,0.34560
0.025,True,51,0.39445
0.025,True,51,0.41968
0.025,True,51,0.42533
0.025,True,51,0.38293
0.025,False,51,0.18276
0.025,True,51,0.37982
0.025,True,51,0.44437
0.025,True,51,0.37268
0.025,True,51,0.33022
0.025,True,51,0.50640
0.025,True,51,0.39327
0.025,True,51,0.46561
0.025,True,51,0.35328
0.025,True,51,0.39198
0.025,True,51,0.38763
0.025,True,51,0.46900
0.025,True,51,0.40506
0.025,True,51,0.40585
0.025,True,51,0.39191
0.025,True,51,0.36221
0.025,True,51,0.40201
0.025,True,51,0.61414
0.025,True,51,0.36392
0.025,True,51,0.35391
0.025,True,51,0.36474
0.025,True,51,0.39724
0.025,True,51,0.40096
0.025,True,51,0.52615
0.025,True,51,0.42635
0.025,True,51,0.43079
0.025,True,51,0.35528
0.025,True,51,0.37725
0.025,True,51,0.44270
0.025,True,51,0.35952
0.025,True,51,0.37477
0.025,False,51,0.22587
0.025,True,51,0.44427
0.025,True,51,0.37953
0.025,True,51,0.38966
0.025,True,51,0.37622
0.025,False,51,0.46608
0.025,True,51,0.48535
0.025,True,51,0.35297
0.025,True,51,0.39947
0.025,True,51,0.42023
0.025,True,51,0.33723
0.025,True,51,0.36664
0.025,False,51,0.19634
0.025,True,51,0.37379
0.025,True,51,0.39238
0.025,True,51,0.42117
0.025,True,51,0.38754
0.025,True,51,0.45772
0.025,True,51,0.35817
0.025,True,51,0.37921
0.025,True,51,0.42991
0.025,True,51,0.45950
0.025,True,51,0.40445
0.025,True,51,0.39401
0.025,True,51,0.36421
0.025,True,51,0.36511
0.025,True,51,0.40494
0.025,True,51,0.42277
0.025,True,51,0.45444
0.025,True,51,0.42369
0.025,True,51,0.38800
0.025,True,51,0.39921
0.025,True,51,0.50947
0.025,True,51,0.42577
0.025,True,51,0.36360
0.025,True,51,0.36068
0.025,True,51,0.33172
0.025,True,51,0.48840
0.025,True,51,0.41958
0.025,False,51,1.22168
0.025,True,51,0.39660
0.025,True,51,0.36462
0.025,True,51,0.38833
0.025,True,51,0.39799
0.025,True,51,0.37218
0.025,False,51,0.62650
0.025,True,51,0.37987
0.025,True,51,0.35235
0.025,False,51,0.34483
0.025,True,51,0.38252
0.025,True,51,0.44250
0.025,True,51,0.39239
0.025,True,51,0.33669
0.025,True,51,0.36425
0.025,True,51,0.36833
0.025,True,51,0.38537
0.025,True,51,0.42098
0.025,True,51,0.41479
0.025,True,51,0.42990
0.025,True,51,0.38376
0.025,True,51,0.35438
0.025,True,51,0.37318
0.025,True,51,0.36004
0.025,True,51,0.40137
0.025,True,51,0.37506
0.025,True,51,0.38305
0.025,True,51,0.42660
0.025,True,51,0.47823
0.025,True,51,0.49549
0.025,True,51,0.47633
0.025,False,51,0.69832
0.025,True,51,0.39813
0.025,True,51,0.38090
0.025,True,51,0.39146
0.025,True,51,0.40547
0.025,False,51,0.15039
0.025,True,51,0.38527
0.025,True,51,0.36998
0.025,True,51,0.36528
0.025,True,51,0.41415
0.025,True,51,0.43367
0.025,True,51,0.41382
0.025,True,51,0.41050
0.025,True,51,0.40477
0.025,True,51,0.48775
0.025,True,51,0.38229
0.025,True,51,0.38604
0.025,True,51,0.37750
0.025,True,51,0.40250
0.025,True,51,0.32675
0.025,True,51,0.47717
0.025,True,51,0.33235
0.025,True,51,0.35079
