q,successful,maze_size,runtime
0.025,True,51,0.37838
0.025,True,51,0.36307
0.025,True,51,0.40187
0.025,True,51,0.34001
0.025,True,51,0.37024
0.025,True,51,0.3341
0.025,True,51,0.33058
0.025,True,51,0.43799
0.025,True,51,0.35902
0.025,False,51,0.20278
0.025,True,51,0.35763
0.025,True,51,0.38704
0.025,True,51,0.35875
0.025,True,51,0.36526
0.025,False,51,0.15934
0.025,True,51,0.48795
0.025,False,51,0.14007
0.025,True,51,0.35976
0.025,True,51,0.38434
0.025,False,51,0.17294
0.025,True,51,0.39401
0.025,True,51,0.39528
0.025,True,51,0.34962
0.025,False,51,0.16714
0.025,True,51,0.39832
0.025,True,51,0.41656
0.025,True,51,0.3169
0.025,True,51,0.38927
0.025,True,51,0.35042
0.025,True,51,0.38776
0.025,True,51,0.36694
0.025,True,51,0.36472
0.025,True,51,0.34886
0.025,True,51,0.39756
0.025,True,51,0.39771
0.025,True,51,0.36754
0.025,True,51,0.32983
0.025,False,51,0.18668
0.025,True,51,0.38254
0.025,False,51,0.13692
0.025,True,51,0.33723
0.025,True,51,0.33958
0.025,True,51,0.35906
0.025,True,51,0.35145
0.025,True,51,0.34958
0.025,True,51,0.4005
0.025,True,51,0.37207
0.025,True,51,0.36386
0.025,True,51,0.41257
0.025,True,51,0.37214
0.025,False,51,0.14555
0.025,True,51,0.36358
0.025,False,51,0.3339
0.025,True,51,0.41499
0.025,True,51,0.35938
0.025,True,51,0.38946
0.025,True,51,0.37192
0.025,True,51,0.38142
0.025,True,51,0.4117
0.025,True,51,0.36241
0.025,True,51,0.3651
0.025,True,51,0.34518
0.025,True,51,0.3387
0.025,True,51,0.38075
0.025,True,51,0.39611
0.025,True,51,0.30808
0.025,True,51,0.3777
0.025,False,51,0.20603
0.025,False,51,0.14327
0.025,True,51,0.35967
0.025,True,51,0.35046
0.025,True,51,0.36336
0.025,True,51,0.43372
0.025,True,51,0.36015
0.025,False,51,0.19817
0.025,False,51,0.14398
0.025,True,51,0.36529
0.025,True,51,0.36427
0.025,True,51,0.34185
0.025,False,51,0.15986
0.025,True,51,0.35307
0.025,True,51,0.38122
0.025,True,51,0.33399
0.025,True,51,0.3444
0.025,True,51,0.36749
0.025,False,51,0.18915
0.025,True,51,0.37591
0.025,False,51,0.19877
0.025,True,51,0.43747
0.025,True,51,0.45278
0.025,True,51,0.38529
0.025,True,51,0.34415
0.025,True,51,0.38339
0.025,True,51,0.33941
0.025,True,51,0.42055
0.025,True,51,0.3727
0.025,True,51,0.41901
0.025,False,51,0.34956
0.025,True,51,0.4182
0.025,True,51,0.34461
0.025,True,75,1.19174
0.025,True,75,1.22842
0.025,True,75,1.31628
0.025,True,75,1.10777
0.025,False,75,0.48358
0.025,False,75,0.4899
0.025,True,75,1.38649
0.025,True,75,1.41312
0.025,True,75,1.11518
0.025,True,75,1.02796
0.025,True,75,1.21914
0.025,True,75,1.19709
0.025,True,75,1.11291
0.025,True,75,1.18213
0.025,False,75,0.59236
0.025,True,75,1.18856
0.025,True,75,1.23694
0.025,True,75,1.18587
0.025,True,75,1.18789
0.025,True,75,1.30451
0.025,True,75,1.2438
0.025,False,75,0.70432
0.025,True,75,1.13204
0.025,True,75,1.1542
0.025,True,75,1.04627
0.025,True,75,1.25222
0.025,True,75,1.35272
0.025,True,75,1.11677
0.025,True,75,1.20611
0.025,True,75,1.07783
0.025,True,75,1.33171
0.025,True,75,1.40446
0.025,True,75,1.12494
0.025,True,75,1.20125
0.025,True,75,1.20833
0.025,True,75,1.37405
0.025,True,75,1.12599
0.025,True,75,1.08207
0.025,True,75,1.13227
0.025,True,75,1.41865
0.025,False,75,0.57656
0.025,True,75,1.18482
0.025,True,75,1.11457
0.025,True,75,1.05834
0.025,True,75,1.10802
0.025,True,75,1.29007
0.025,True,75,1.16905
0.025,True,75,1.14184
0.025,False,75,0.53689
0.025,True,75,1.18802
0.025,False,75,0.51825
0.025,False,75,0.64571
0.025,True,75,1.15451
0.025,True,75,1.1762
0.025,True,75,1.38087
0.025,False,75,0.52581
0.025,True,75,1.21573
0.025,True,75,1.20186
0.025,True,75,1.05088
0.025,True,75,1.3073
0.025,True,75,1.38367
0.025,True,75,1.39048
0.025,True,75,1.21278
0.025,True,75,1.13902
0.025,True,75,1.22413
0.025,False,75,0.57803
0.025,True,75,1.26041
0.025,True,75,1.05714
0.025,False,75,0.57138
0.025,False,75,0.66959
0.025,False,75,0.45526
0.025,True,75,1.2212
0.025,True,75,1.11076
0.025,False,75,0.50923
0.025,True,75,1.193
0.025,True,75,1.36121
0.025,True,75,1.4587
0.025,True,75,1.04799
0.025,True,75,1.18264
0.025,True,75,1.1144
0.025,False,75,0.52702
0.025,True,75,1.16186
0.025,True,75,1.15008
0.025,True,75,1.43121
0.025,True,75,1.32529
0.025,True,75,1.11809
0.025,False,75,0.50035
0.025,True,75,1.17551
0.025,True,75,1.13847
0.025,True,75,1.29044
0.025,True,75,1.30209
0.025,False,75,0.66352
0.025,False,75,0.47757
0.025,True,75,1.22057
0.025,True,75,1.12353
0.025,True,75,1.17053
0.025,True,75,1.17145
0.025,True,75,1.22939
0.025,True,75,1.18767
0.025,True,75,1.16573
0.05,False,51,0.30988
0.05,True,51,0.32021
0.05,True,51,0.35778
0.05,True,51,0.35167
0.05,True,51,0.34484
0.05,False,51,0.29886
0.05,False,51,0.24472
0.05,True,51,0.33331
0.05,True,51,0.31186
0.05,False,51,0.23237
0.05,False,51,0.17195
0.05,False,51,0.14686
0.05,False,51,0.16645
0.05,True,51,0.31539
0.05,True,51,0.30544
0.05,False,51,0.16134
0.05,False,51,0.28737
0.05,False,51,0.15194
0.05,True,51,0.32567
0.05,False,51,0.16238
0.05,False,51,0.26565
0.05,True,51,0.33044
0.05,True,51,0.35151
0.05,False,51,0.17342
0.05,False,51,0.24113
0.05,True,51,0.31581
0.05,False,51,0.14385
0.05,False,51,0.16056
0.05,False,51,0.14763
0.05,True,51,0.29218
0.05,False,51,0.17568
0.05,False,51,0.15567
0.05,False,51,0.15646
0.05,False,51,0.16353
0.05,True,51,0.34713
0.05,False,51,0.23067
0.05,True,51,0.34823
0.05,False,51,0.28356
0.05,False,51,0.20035
0.05,False,51,0.15247
