q,successful,maze_size,runtime
0.025,False,51,4.47023
0.025,False,51,0.65977
0.025,True,51,1.57241
0.025,True,51,1.70302
0.025,True,51,1.58959
0.025,True,51,1.40912
0.025,True,51,1.68236
0.025,True,51,1.67748
0.025,True,51,3.20778
0.025,True,51,1.48155
0.025,False,51,3.62793
0.025,True,51,1.50672
0.025,False,51,2.97306
0.025,True,51,1.95695
0.025,True,51,1.57710
0.025,True,51,1.55655
0.025,False,51,5.04751
0.025,False,51,2.89459
0.025,False,51,2.90920
0.025,True,51,1.53326
0.025,True,51,1.43924
0.025,True,51,2.31663
0.025,True,51,2.06864
0.025,True,51,1.87386
0.025,True,51,1.46890
0.025,True,51,1.63292
0.025,True,51,1.42136
0.025,True,51,1.76635
0.025,True,51,1.62395
0.025,False,51,0.77548
0.025,True,51,1.49920
0.025,True,51,1.66112
0.025,False,51,2.86033
0.025,True,51,1.50040
0.025,True,51,1.50956
0.025,True,51,1.60840
0.025,True,51,1.94506
0.025,True,51,1.74533
0.025,False,51,1.92238
0.025,False,51,3.09812
0.025,True,51,1.55327
0.025,True,51,1.96637
0.025,False,51,3.19208
0.025,True,51,1.60593
0.025,True,51,1.54648
0.025,True,51,3.22805
0.025,True,51,1.84193
0.025,True,51,1.56208
0.025,False,51,2.14143
0.025,False,51,1.49825
0.025,True,51,1.79187
0.025,True,51,1.51913
0.025,True,51,2.48632
0.025,True,51,1.76559
0.025,False,51,2.79168
0.025,True,51,1.87551
0.025,True,51,1.56353
0.025,True,51,1.66147
0.025,True,51,1.62718
0.025,True,51,1.42061
0.025,False,51,3.29749
0.025,True,51,1.60515
0.025,True,51,1.63107
0.025,False,51,3.01559
0.025,True,51,1.54013
0.025,True,51,1.91859
0.025,False,51,0.79276
0.025,True,51,1.53676
0.025,True,51,2.39711
0.025,True,51,2.26469
0.025,True,51,1.58940
0.025,True,51,1.41312
0.025,True,51,2.38187
0.025,False,51,3.41049
0.025,True,51,1.66805
0.025,True,51,1.64927
0.025,True,51,1.43443
0.025,True,51,1.96283
0.025,True,51,1.69411
0.025,True,51,1.50272
0.025,True,51,1.62190
0.025,True,51,1.61880
0.025,True,51,1.53097
0.025,True,51,1.54951
0.025,True,51,1.53185
0.025,True,51,2.91857
0.025,True,51,1.60576
0.025,True,51,1.67698
0.025,True,51,1.91850
0.025,True,51,1.47398
0.025,True,51,1.56597
0.025,True,51,1.75004
0.025,True,51,1.75859
0.025,True,51,1.83542
0.025,False,51,2.39536
0.025,True,51,1.59571
0.025,False,51,2.36249
0.025,True,51,1.71393
0.025,True,51,1.80838
0.025,False,51,3.13138
0.025,True,51,1.50135
0.025,False,51,2.59279
