q,successful,maze_size,runtime
0.025,True,51,0.34899
0.025,True,51,0.3422
0.025,True,51,0.36465
0.025,True,51,0.33311
0.025,True,51,0.37756
0.025,False,51,0.3144
0.025,True,51,0.31913
0.025,True,51,0.34913
0.025,True,51,0.33413
0.025,True,51,0.33146
0.025,True,51,0.40576
0.025,True,51,0.40857
0.025,True,51,0.31593
0.025,True,51,0.35637
0.025,True,51,0.35092
0.025,False,51,0.2706
0.025,True,51,0.38377
0.025,True,51,0.52301
0.025,True,51,0.40564
0.025,True,51,0.45613
0.025,True,51,0.40327
0.025,True,51,0.345
0.025,True,51,0.4648
0.025,True,51,0.36778
0.025,True,51,0.36471
0.025,True,51,0.44748
0.025,True,51,0.42805
0.025,True,51,0.40543
0.025,True,51,0.33807
0.025,True,51,0.31657
0.025,True,51,0.56872
0.025,True,51,0.35254
0.025,True,51,0.45926
0.025,True,51,0.33647
0.025,True,51,0.38293
0.025,True,51,0.42597
0.025,True,51,0.40909
0.025,True,51,0.42387
0.025,True,51,0.40662
0.025,False,51,0.32074
0.025,True,51,0.3275
0.025,True,51,0.33145
0.025,True,51,0.36506
0.025,True,51,0.33165
0.025,True,51,0.40174
0.025,True,51,0.39633
0.025,True,51,0.35148
0.025,True,51,0.42353
0.025,True,51,0.39942
0.025,True,51,0.36299
0.025,True,51,0.4195
0.025,True,51,0.32539
0.025,True,51,0.39285
0.025,True,51,0.37022
0.025,True,51,0.37157
0.025,True,51,0.38873
0.025,True,51,0.38539
0.025,True,51,0.3871
0.025,True,51,0.44574
0.025,True,51,0.35215
0.025,True,51,0.39659
0.025,True,51,0.42185
0.025,True,51,0.35261
0.025,True,51,0.32414
0.025,True,51,0.41697
0.025,True,51,0.36993
0.025,True,51,0.40584
0.025,True,51,0.37955
0.025,False,51,0.21508
0.025,True,51,0.38043
0.025,True,51,0.36416
0.025,True,51,0.37489
0.025,True,51,0.33728
0.025,True,51,0.38192
0.025,True,51,0.38708
0.025,True,51,0.36782
0.025,True,51,0.3452
0.025,True,51,0.495
0.025,True,51,0.36086
0.025,True,51,0.35151
0.025,True,51,0.34418
0.025,True,51,0.32921
0.025,True,51,0.40428
0.025,True,51,0.34414
0.025,True,51,0.361
0.025,True,51,0.34599
0.025,True,51,0.37915
0.025,False,51,0.18632
0.025,True,51,0.49911
0.025,True,51,0.38302
0.025,True,51,0.35481
0.025,True,51,0.37747
0.025,True,51,0.38355
0.025,True,51,0.36628
0.025,True,51,0.40557
0.025,True,51,0.35106
0.025,True,51,0.34726
0.025,True,51,0.45738
0.025,False,51,0.59404
0.025,True,51,0.39751
0.025,True,75,1.36041
0.025,True,75,1.07749
0.025,True,75,1.60217
0.025,True,75,1.20411
0.025,True,75,1.33544
0.025,True,75,1.16917
0.025,True,75,1.12225
0.025,True,75,1.19103
0.025,True,75,1.1859
0.025,True,75,1.59969
0.025,True,75,1.14262
0.025,True,75,1.06726
0.025,True,75,1.12082
0.025,True,75,1.12514
0.025,True,75,1.24225
0.025,True,75,1.26633
0.025,True,75,1.26473
0.025,True,75,870.96556
0.025,True,75,1.63565
0.025,True,75,1.17138
0.025,True,75,1.30865
0.025,True,75,1.48698
0.025,True,75,1.43886
0.025,True,75,1.12924
0.025,True,75,1.17546
0.025,True,75,1.26021
0.025,True,75,1.11858
0.025,True,75,1.31314
0.025,True,75,1.18799
0.025,True,75,1.23104
0.025,True,75,1.2564
0.025,True,75,1.17271
0.025,True,75,1.37377
0.025,True,75,1.14389
0.025,True,75,1.31923
0.025,True,75,1.65714
0.025,True,75,1.15682
0.025,True,75,1.06131
0.025,True,75,1.4234
0.025,True,75,1.31936
0.025,True,75,1.30775
0.025,True,75,1.43725
0.025,True,75,1.17054
0.025,True,75,1.20712
0.025,True,75,1.17867
0.025,True,75,1.18201
0.025,True,75,1.10643
0.025,True,75,1.10484
0.025,True,75,1.09073
0.025,True,75,1.13582
0.025,True,75,1.17356
0.025,True,75,1.20527
0.025,True,75,1.34698
0.025,True,75,1.13738
0.025,True,75,1.14448
0.025,True,75,1.36358
0.025,True,75,1.22536
0.025,True,75,1.57025
0.025,True,75,1.16484
0.025,True,75,1.20845
0.025,True,75,1.16539
0.025,True,75,1.0737
0.025,True,75,1.31789
0.025,True,75,1.40007
0.025,True,75,1.36674
0.025,False,75,0.66574
0.025,True,75,1.07422
0.025,True,75,1.24312
0.025,True,75,1.57871
0.025,False,75,4.92473
0.025,True,75,1.38357
0.025,True,75,1.61108
0.025,True,75,1.28986
0.025,True,75,1.09707
0.025,True,75,1.08724
0.025,True,75,1.38138
0.025,True,75,1.29992
0.025,True,75,1.18022
0.025,True,75,1.10143
0.025,True,75,1.14982
0.025,True,75,1.2826
0.025,True,75,1.34267
0.025,True,75,1.21769
0.025,True,75,1.66103
0.025,True,75,1.25968
0.025,True,75,1.19898
0.025,True,75,1.11467
0.025,True,75,1.37264
0.025,True,75,1.1196
0.025,True,75,1.26692
0.025,True,75,1.5384
0.025,True,75,1.28089
0.025,True,75,1.25206
0.025,False,75,0.63821
0.025,True,75,1.25468
0.025,True,75,1.23409
0.025,True,75,1.30345
0.025,True,75,1.05145
0.025,True,75,1.15368
0.025,True,75,1.19032
0.05,False,51,0.4926
0.05,True,51,0.33574
0.05,True,51,0.38172
0.05,False,51,0.29178
0.05,True,51,0.30523
0.05,True,51,0.33524
0.05,False,51,0.42572
0.05,True,51,0.32504
0.05,True,51,0.38445
0.05,False,51,0.47151
0.05,True,51,0.30618
0.05,False,51,0.21555
0.05,False,51,0.1881
0.05,False,51,0.33645
0.05,True,51,0.37357
0.05,True,51,0.30357
0.05,True,51,0.31095
0.05,True,51,0.32419
0.05,True,51,0.31928
0.05,False,51,0.34922
0.05,True,51,0.33218
0.05,False,51,0.42856
0.05,False,51,0.34019
0.05,False,51,0.5578
0.05,False,51,0.22092
0.05,True,51,0.29144
0.05,True,51,0.3108
0.05,True,51,0.3714
0.05,False,51,0.23714
0.05,False,51,0.32926
0.05,False,51,0.38485
0.05,False,51,0.29621
0.05,False,51,0.38164
0.05,False,51,0.30882
0.05,False,51,0.28801
0.05,True,51,0.34139
0.05,True,51,0.33626
